,loanid,month,amount
159,1804,2023-01-31,82454
160,1804,2023-02-28,82454
161,1804,2023-03-31,82454
162,1804,2023-04-30,82454
163,1804,2023-05-31,82454
164,1804,2023-06-30,82454
165,1804,2023-07-31,82454
166,1804,2023-08-31,82454
167,1804,2023-09-30,82454
168,1809,2022-10-31,64733
169,1809,2022-11-30,64733
170,1809,2022-12-31,64733
171,1809,2023-01-31,64733
172,1809,2023-02-28,64733
173,1809,2023-03-31,64733
174,1809,2023-04-30,64733
175,1809,2023-05-31,64733
176,1809,2023-06-30,64733
177,1809,2023-07-31,64733
178,1809,2023-08-31,64733
179,1809,2023-09-30,64733
180,1810,2022-10-31,80111
181,1810,2022-11-30,80111
182,1810,2022-12-31,80111
183,1810,2023-01-31,80111
184,1810,2023-02-28,80111
185,1810,2023-03-31,80111
186,1810,2023-04-30,80111
187,1810,2023-05-31,80111
188,1810,2023-06-30,80111
189,1810,2023-07-31,80111
190,1810,2023-08-31,80111
191,1810,2023-09-30,80111
192,1816,2022-10-31,20666
193,1816,2022-11-30,20666
194,1816,2022-12-31,20666
195,1816,2023-01-31,20666
196,1816,2023-02-28,20666
197,1816,2023-03-31,20666
198,1816,2023-04-30,20666
199,1816,2023-05-31,20666
200,1816,2023-06-30,20666
201,1816,2023-07-31,20666
202,1816,2023-08-31,20666
203,1816,2023-09-30,20666
204,1818,2022-10-31,95572
205,1818,2022-11-30,95572
206,1818,2022-12-31,95572
207,1818,2023-01-31,95572
208,1818,2023-02-28,95572
209,1818,2023-03-31,95572
210,1818,2023-04-30,95572
211,1818,2023-05-31,95572
212,1818,2023-06-30,95572
213,1818,2023-07-31,95572
214,1818,2023-08-31,95572
215,1818,2023-09-30,95572
216,1829,2022-10-31,80855
217,1829,2022-11-30,80855
218,1829,2022-12-31,80855
219,1829,2023-01-31,80855
220,1829,2023-02-28,80855
221,1829,2023-03-31,80855
222,1829,2023-04-30,80855
223,1829,2023-05-31,80855
224,1829,2023-06-30,80855
225,1829,2023-07-31,80855
226,1829,2023-08-31,80855
227,1829,2023-09-30,80855
228,1836,2022-10-31,95514
229,1836,2022-11-30,95514
230,1836,2022-12-31,95514
231,1836,2023-01-31,95514
232,1836,2023-02-28,95514
233,1836,2023-03-31,95514
234,1836,2023-04-30,95514
235,1836,2023-05-31,95514
236,1836,2023-06-30,95514
237,1836,2023-07-31,95514
238,1836,2023-08-31,95514
239,1836,2023-09-30,95514
240,1855,2022-10-31,90298
241,1855,2022-11-30,90298
242,1855,2022-12-31,90298
243,1855,2023-01-31,90298
244,1855,2023-02-28,90298
245,1855,2023-03-31,90298
246,1855,2023-04-30,90298
247,1855,2023-05-31,90298
248,1855,2023-06-30,90298
249,1855,2023-07-31,90298
250,1855,2023-08-31,90298
251,1855,2023-09-30,90298
252,1857,2022-10-31,70804
253,1857,2022-11-30,70804
254,1857,2022-12-31,70804
255,1857,2023-01-31,70804
256,1857,2023-02-28,70804
257,1857,2023-03-31,70804
258,1857,2023-04-30,70804
259,1857,2023-05-31,70804
260,1857,2023-06-30,70804
261,1857,2023-07-31,70804
262,1857,2023-08-31,70804
263,1857,2023-09-30,70804
264,1864,2022-10-31,56424
265,1864,2022-11-30,56424
266,1864,2022-12-31,56424
267,1864,2023-01-31,56424
268,1864,2023-02-28,56424
269,1864,2023-03-31,56424
270,1864,2023-04-30,56424
271,1864,2023-05-31,56424
272,1864,2023-06-30,56424
273,1864,2023-07-31,56424
274,1864,2023-08-31,56424
275,1864,2023-09-30,56424
276,1868,2022-10-31,23824
277,1868,2022-11-30,23824
278,1868,2022-12-31,23824
279,1868,2023-01-31,23824
280,1868,2023-02-28,23824
281,1868,2023-03-31,23824
282,1868,2023-04-30,23824
283,1868,2023-05-31,23824
284,1868,2023-06-30,23824
285,1868,2023-07-31,23824
286,1868,2023-08-31,23824
287,1868,2023-09-30,23824
288,1890,2022-10-31,74419
289,1890,2022-11-30,74419
290,1890,2022-12-31,74419
291,1890,2023-01-31,74419
292,1890,2023-02-28,74419
293,1890,2023-03-31,74419
294,1890,2023-04-30,74419
295,1890,2023-05-31,74419
296,1890,2023-06-30,74419
297,1890,2023-07-31,74419
298,1890,2023-08-31,74419
299,1890,2023-09-30,74419
300,1898,2022-10-31,67855
301,1898,2022-11-30,67855
302,1898,2022-12-31,67855
303,1898,2023-01-31,67855
304,1898,2023-02-28,67855
305,1898,2023-03-31,67855
306,1898,2023-04-30,67855
307,1898,2023-05-31,67855
308,1898,2023-06-30,67855
309,1898,2023-07-31,67855
310,1898,2023-08-31,67855
311,1898,2023-09-30,67855
312,1906,2022-10-31,41903
313,1906,2022-11-30,41903
314,1906,2022-12-31,41903
315,1906,2023-01-31,41903
316,1906,2023-02-28,41903
317,1906,2023-03-31,41903
318,1906,2023-04-30,41903
319,1906,2023-05-31,41903
320,1906,2023-06-30,41903
321,1906,2023-07-31,41903
322,1906,2023-08-31,41903
323,1906,2023-09-30,41903
324,1912,2022-10-31,18102
325,1912,2022-11-30,18102
326,1912,2022-12-31,18102
327,1912,2023-01-31,18102
328,1912,2023-02-28,18102
329,1912,2023-03-31,18102
330,1912,2023-04-30,18102
331,1912,2023-05-31,18102
332,1912,2023-06-30,18102
333,1912,2023-07-31,18102
334,1912,2023-08-31,18102
335,1912,2023-09-30,18102
336,1920,2022-10-31,17291
337,1920,2022-11-30,17291
338,1920,2022-12-31,17291
339,1920,2023-01-31,17291
340,1920,2023-02-28,17291
341,1920,2023-03-31,17291
342,1920,2023-04-30,17291
343,1920,2023-05-31,17291
344,1920,2023-06-30,17291
345,1920,2023-07-31,17291
346,1920,2023-08-31,17291
347,1920,2023-09-30,17291
348,1926,2022-10-31,48613
349,1926,2022-11-30,48613
350,1926,2022-12-31,48613
351,1926,2023-01-31,48613
352,1926,2023-02-28,48613
353,1926,2023-03-31,48613
354,1926,2023-04-30,48613
355,1926,2023-05-31,48613
356,1926,2023-06-30,48613
357,1926,2023-07-31,48613
358,1926,2023-08-31,48613
359,1926,2023-09-30,48613
360,1938,2022-10-31,43699
361,1938,2022-11-30,43699
362,1938,2022-12-31,43699
363,1938,2023-01-31,43699
364,1938,2023-02-28,43699
365,1938,2023-03-31,43699
366,1938,2023-04-30,43699
367,1938,2023-05-31,43699
368,1938,2023-06-30,43699
369,1938,2023-07-31,43699
370,1938,2023-08-31,43699
371,1938,2023-09-30,43699
372,1944,2022-10-31,57842
373,1944,2022-11-30,57842
374,1944,2022-12-31,57842
375,1944,2023-01-31,57842
376,1944,2023-02-28,57842
377,1944,2023-03-31,57842
378,1944,2023-04-30,57842
379,1944,2023-05-31,57842
380,1944,2023-06-30,57842
381,1944,2023-07-31,57842
382,1944,2023-08-31,57842
383,1944,2023-09-30,57842
384,1945,2022-10-31,30310
385,1945,2022-11-30,30310
386,1945,2022-12-31,30310
387,1945,2023-01-31,30310
388,1945,2023-02-28,30310
389,1945,2023-03-31,30310
390,1945,2023-04-30,30310
391,1945,2023-05-31,30310
392,1945,2023-06-30,30310
393,1945,2023-07-31,30310
394,1945,2023-08-31,30310
395,1945,2023-09-30,30310
396,1954,2022-10-31,24328
397,1954,2022-11-30,24328
398,1954,2022-12-31,24328
399,1954,2023-01-31,24328
400,1954,2023-02-28,24328
401,1954,2023-03-31,24328
402,1954,2023-04-30,24328
403,1954,2023-05-31,24328
404,1954,2023-06-30,24328
405,1954,2023-07-31,24328
406,1954,2023-08-31,24328
407,1954,2023-09-30,24328
408,1955,2022-10-31,26343
409,1955,2022-11-30,26343
410,1955,2022-12-31,26343
411,1955,2023-01-31,26343
412,1955,2023-02-28,26343
413,1955,2023-03-31,26343
414,1955,2023-04-30,26343
415,1955,2023-05-31,26343
416,1955,2023-06-30,26343
417,1955,2023-07-31,26343
418,1955,2023-08-31,26343
419,1955,2023-09-30,26343
420,1967,2022-10-31,43130
421,1967,2022-11-30,43130
422,1967,2022-12-31,43130
423,1967,2023-01-31,43130
424,1967,2023-02-28,43130
425,1967,2023-03-31,43130
426,1967,2023-04-30,43130
427,1967,2023-05-31,43130
428,1967,2023-06-30,43130
429,1967,2023-07-31,43130
430,1967,2023-08-31,43130
431,1967,2023-09-30,43130
432,1968,2022-10-31,42181
433,1968,2022-11-30,42181
434,1968,2022-12-31,42181
435,1968,2023-01-31,42181
436,1968,2023-02-28,42181
437,1968,2023-03-31,42181
438,1968,2023-04-30,42181
439,1968,2023-05-31,42181
440,1968,2023-06-30,42181
441,1968,2023-07-31,42181
442,1968,2023-08-31,42181
443,1968,2023-09-30,42181
444,1977,2022-10-31,47143
445,1977,2022-11-30,47143
446,1977,2022-12-31,47143
447,1977,2023-01-31,47143
448,1977,2023-02-28,47143
449,1977,2023-03-31,47143
450,1977,2023-04-30,47143
451,1977,2023-05-31,47143
452,1977,2023-06-30,47143
453,1977,2023-07-31,47143
454,1977,2023-08-31,47143
455,1977,2023-09-30,47143
456,1979,2022-10-31,98726
457,1979,2022-11-30,98726
458,1979,2022-12-31,98726
459,1979,2023-01-31,98726
460,1979,2023-02-28,98726
461,1979,2023-03-31,98726
462,1979,2023-04-30,98726
463,1979,2023-05-31,98726
464,1979,2023-06-30,98726
465,1979,2023-07-31,98726
466,1979,2023-08-31,98726
467,1979,2023-09-30,98726
468,1987,2022-10-31,38730
469,1987,2022-11-30,38730
470,1987,2022-12-31,38730
471,1987,2023-01-31,38730
472,1987,2023-02-28,38730
473,1987,2023-03-31,38730
474,1987,2023-04-30,38730
475,1987,2023-05-31,38730
476,1987,2023-06-30,38730
477,1987,2023-07-31,38730
478,1987,2023-08-31,38730
479,1987,2023-09-30,38730
480,1988,2022-10-31,97354
481,1988,2022-11-30,97354
482,1988,2022-12-31,97354
483,1988,2023-01-31,97354
484,1988,2023-02-28,97354
485,1988,2023-03-31,97354
486,1988,2023-04-30,97354
487,1988,2023-05-31,97354
488,1988,2023-06-30,97354
489,1988,2023-07-31,97354
490,1988,2023-08-31,97354
491,1988,2023-09-30,97354
492,1991,2022-10-31,97504
493,1991,2022-11-30,97504
494,1991,2022-12-31,97504
495,1991,2023-01-31,97504
496,1991,2023-02-28,97504
497,1991,2023-03-31,97504
498,1991,2023-04-30,97504
499,1991,2023-05-31,97504
500,1991,2023-06-30,97504
501,1991,2023-07-31,97504
502,1991,2023-08-31,97504
503,1991,2023-09-30,97504
504,1993,2022-10-31,24253
505,1993,2022-11-30,24253
506,1993,2022-12-31,24253
507,1993,2023-01-31,24253
508,1993,2023-02-28,24253
509,1993,2023-03-31,24253
510,1993,2023-04-30,24253
511,1993,2023-05-31,24253
512,1993,2023-06-30,24253
513,1993,2023-07-31,24253
514,1993,2023-08-31,24253
515,1993,2023-09-30,24253
516,1994,2022-10-31,46254
517,1994,2022-11-30,46254
518,1994,2022-12-31,46254
519,1994,2023-01-31,46254
520,1994,2023-02-28,46254
521,1994,2023-03-31,46254
522,1994,2023-04-30,46254
523,1994,2023-05-31,46254
524,1994,2023-06-30,46254
525,1994,2023-07-31,46254
526,1994,2023-08-31,46254
527,1994,2023-09-30,46254
528,1995,2022-10-31,79717
529,1995,2022-11-30,79717
530,1995,2022-12-31,79717
531,1995,2023-01-31,79717
532,1995,2023-02-28,79717
533,1995,2023-03-31,79717
534,1995,2023-04-30,79717
535,1995,2023-05-31,79717
536,1995,2023-06-30,79717
537,1995,2023-07-31,79717
538,1995,2023-08-31,79717
539,1995,2023-09-30,79717
540,2003,2022-10-31,58125
541,2003,2022-11-30,58125
542,2003,2022-12-31,58125
543,2003,2023-01-31,58125
544,2003,2023-02-28,58125
545,2003,2023-03-31,58125
546,2003,2023-04-30,58125
547,2003,2023-05-31,58125
548,2003,2023-06-30,58125
549,2003,2023-07-31,58125
550,2003,2023-08-31,58125
551,2003,2023-09-30,58125
552,2005,2022-10-31,34485
553,2005,2022-11-30,34485
554,2005,2022-12-31,34485
555,2005,2023-01-31,34485
556,2005,2023-02-28,34485
557,2005,2023-03-31,34485
558,2005,2023-04-30,34485
559,2005,2023-05-31,34485
560,2005,2023-06-30,34485
561,2005,2023-07-31,34485
562,2005,2023-08-31,34485
563,2005,2023-09-30,34485
564,2008,2022-10-31,97340
565,2008,2022-11-30,97340
566,2008,2022-12-31,97340
567,2008,2023-01-31,97340
568,2008,2023-02-28,97340
569,2008,2023-03-31,97340
570,2008,2023-04-30,97340
571,2008,2023-05-31,97340
572,2008,2023-06-30,97340
573,2008,2023-07-31,97340
574,2008,2023-08-31,97340
575,2008,2023-09-30,97340
576,2012,2022-10-31,19429
577,2012,2022-11-30,19429
578,2012,2022-12-31,19429
579,2012,2023-01-31,19429
580,2012,2023-02-28,19429
581,2012,2023-03-31,19429
582,2012,2023-04-30,19429
583,2012,2023-05-31,19429
584,2012,2023-06-30,19429
585,2012,2023-07-31,19429
586,2012,2023-08-31,19429
587,2012,2023-09-30,19429
588,2020,2022-10-31,47985
589,2020,2022-11-30,47985
590,2020,2022-12-31,47985
591,2020,2023-01-31,47985
592,2020,2023-02-28,47985
593,2020,2023-03-31,47985
594,2020,2023-04-30,47985
595,2020,2023-05-31,47985
596,2020,2023-06-30,47985
597,2020,2023-07-31,47985
598,2020,2023-08-31,47985
599,2020,2023-09-30,47985
600,2022,2022-10-31,34614
601,2022,2022-11-30,34614
602,2022,2022-12-31,34614
603,2022,2023-01-31,34614
604,2022,2023-02-28,34614
605,2022,2023-03-31,34614
606,2022,2023-04-30,34614
607,2022,2023-05-31,34614
608,2022,2023-06-30,34614
609,2022,2023-07-31,34614
610,2022,2023-08-31,34614
611,2022,2023-09-30,34614
612,2024,2022-10-31,24811
613,2024,2022-11-30,24811
614,2024,2022-12-31,24811
615,2024,2023-01-31,24811
616,2024,2023-02-28,24811
617,2024,2023-03-31,24811
618,2024,2023-04-30,24811
619,2024,2023-05-31,24811
620,2024,2023-06-30,24811
621,2024,2023-07-31,24811
622,2024,2023-08-31,24811
623,2024,2023-09-30,24811
624,2029,2022-10-31,46440
625,2029,2022-11-30,46440
626,2029,2022-12-31,46440
627,2029,2023-01-31,46440
628,2029,2023-02-28,46440
629,2029,2023-03-31,46440
630,2029,2023-04-30,46440
631,2029,2023-05-31,46440
632,2029,2023-06-30,46440
633,2029,2023-07-31,46440
634,2029,2023-08-31,46440
635,2029,2023-09-30,46440
636,2034,2022-10-31,85820
637,2034,2022-11-30,85820
638,2034,2022-12-31,85820
639,2034,2023-01-31,85820
640,2034,2023-02-28,85820
641,2034,2023-03-31,85820
642,2034,2023-04-30,85820
643,2034,2023-05-31,85820
644,2034,2023-06-30,85820
645,2034,2023-07-31,85820
646,2034,2023-08-31,85820
647,2034,2023-09-30,85820
648,2038,2022-10-31,24704
649,2038,2022-11-30,24704
650,2038,2022-12-31,24704
651,2038,2023-01-31,24704
652,2038,2023-02-28,24704
653,2038,2023-03-31,24704
654,2038,2023-04-30,24704
655,2038,2023-05-31,24704
656,2038,2023-06-30,24704
657,2038,2023-07-31,24704
658,2038,2023-08-31,24704
659,2038,2023-09-30,24704
660,2048,2022-10-31,55974
661,2048,2022-11-30,55974
662,2048,2022-12-31,55974
663,2048,2023-01-31,55974
664,2048,2023-02-28,55974
665,2048,2023-03-31,55974
666,2048,2023-04-30,55974
667,2048,2023-05-31,55974
668,2048,2023-06-30,55974
669,2048,2023-07-31,55974
670,2048,2023-08-31,55974
671,2048,2023-09-30,55974
672,2050,2022-10-31,58708
673,2050,2022-11-30,58708
674,2050,2022-12-31,58708
675,2050,2023-01-31,58708
676,2050,2023-02-28,58708
677,2050,2023-03-31,58708
678,2050,2023-04-30,58708
679,2050,2023-05-31,58708
680,2050,2023-06-30,58708
681,2050,2023-07-31,58708
682,2050,2023-08-31,58708
683,2050,2023-09-30,58708
684,2051,2022-10-31,39051
685,2051,2022-11-30,39051
686,2051,2022-12-31,39051
687,2051,2023-01-31,39051
688,2051,2023-02-28,39051
689,2051,2023-03-31,39051
690,2051,2023-04-30,39051
691,2051,2023-05-31,39051
692,2051,2023-06-30,39051
693,2051,2023-07-31,39051
694,2051,2023-08-31,39051
695,2051,2023-09-30,39051
696,2059,2022-10-31,58101
697,2059,2022-11-30,58101
698,2059,2022-12-31,58101
699,2059,2023-01-31,58101
700,2059,2023-02-28,58101
701,2059,2023-03-31,58101
702,2059,2023-04-30,58101
703,2059,2023-05-31,58101
704,2059,2023-06-30,58101
705,2059,2023-07-31,58101
706,2059,2023-08-31,58101
707,2059,2023-09-30,58101
708,2063,2022-10-31,97209
709,2063,2022-11-30,97209
710,2063,2022-12-31,97209
711,2063,2023-01-31,97209
712,2063,2023-02-28,97209
713,2063,2023-03-31,97209
714,2063,2023-04-30,97209
715,2063,2023-05-31,97209
716,2063,2023-06-30,97209
717,2063,2023-07-31,97209
718,2063,2023-08-31,97209
719,2063,2023-09-30,97209
720,2069,2022-10-31,23702
721,2069,2022-11-30,23702
722,2069,2022-12-31,23702
723,2069,2023-01-31,23702
724,2069,2023-02-28,23702
725,2069,2023-03-31,23702
726,2069,2023-04-30,23702
727,2069,2023-05-31,23702
728,2069,2023-06-30,23702
729,2069,2023-07-31,23702
730,2069,2023-08-31,23702
731,2069,2023-09-30,23702
732,2077,2022-10-31,33370
733,2077,2022-11-30,33370
734,2077,2022-12-31,33370
735,2077,2023-01-31,33370
736,2077,2023-02-28,33370
737,2077,2023-03-31,33370
738,2077,2023-04-30,33370
739,2077,2023-05-31,33370
740,2077,2023-06-30,33370
741,2077,2023-07-31,33370
742,2077,2023-08-31,33370
743,2077,2023-09-30,33370
744,2086,2022-10-31,99684
745,2086,2022-11-30,99684
746,2086,2022-12-31,99684
747,2086,2023-01-31,99684
748,2086,2023-02-28,99684
749,2086,2023-03-31,99684
750,2086,2023-04-30,99684
751,2086,2023-05-31,99684
752,2086,2023-06-30,99684
753,2086,2023-07-31,99684
754,2086,2023-08-31,99684
755,2086,2023-09-30,99684
756,2089,2022-10-31,49620
757,2089,2022-11-30,49620
758,2089,2022-12-31,49620
759,2089,2023-01-31,49620
760,2089,2023-02-28,49620
761,2089,2023-03-31,49620
762,2089,2023-04-30,49620
763,2089,2023-05-31,49620
764,2089,2023-06-30,49620
765,2089,2023-07-31,49620
766,2089,2023-08-31,49620
767,2089,2023-09-30,49620
768,2092,2022-10-31,60275
769,2092,2022-11-30,60275
770,2092,2022-12-31,60275
771,2092,2023-01-31,60275
772,2092,2023-02-28,60275
773,2092,2023-03-31,60275
774,2092,2023-04-30,60275
775,2092,2023-05-31,60275
776,2092,2023-06-30,60275
777,2092,2023-07-31,60275
778,2092,2023-08-31,60275
779,2092,2023-09-30,60275
780,2102,2022-10-31,29667
781,2102,2022-11-30,29667
782,2102,2022-12-31,29667
783,2102,2023-01-31,29667
784,2102,2023-02-28,29667
785,2102,2023-03-31,29667
786,2102,2023-04-30,29667
787,2102,2023-05-31,29667
788,2102,2023-06-30,29667
789,2102,2023-07-31,29667
790,2102,2023-08-31,29667
791,2102,2023-09-30,29667
792,2105,2022-10-31,36490
793,2105,2022-11-30,36490
794,2105,2022-12-31,36490
795,2105,2023-01-31,36490
796,2105,2023-02-28,36490
797,2105,2023-03-31,36490
798,2105,2023-04-30,36490
799,2105,2023-05-31,36490
800,2105,2023-06-30,36490
801,2105,2023-07-31,36490
802,2105,2023-08-31,36490
803,2105,2023-09-30,36490
804,2106,2022-10-31,83026
805,2106,2022-11-30,83026
806,2106,2022-12-31,83026
807,2106,2023-01-31,83026
808,2106,2023-02-28,83026
809,2106,2023-03-31,83026
810,2106,2023-04-30,83026
811,2106,2023-05-31,83026
812,2106,2023-06-30,83026
813,2106,2023-07-31,83026
814,2106,2023-08-31,83026
815,2106,2023-09-30,83026
816,2112,2022-10-31,57408
817,2112,2022-11-30,57408
818,2112,2022-12-31,57408
819,2112,2023-01-31,57408
820,2112,2023-02-28,57408
821,2112,2023-03-31,57408
822,2112,2023-04-30,57408
823,2112,2023-05-31,57408
824,2112,2023-06-30,57408
825,2112,2023-07-31,57408
826,2112,2023-08-31,57408
827,2112,2023-09-30,57408
828,2115,2022-10-31,73289
829,2115,2022-11-30,73289
830,2115,2022-12-31,73289
831,2115,2023-01-31,73289
832,2115,2023-02-28,73289
833,2115,2023-03-31,73289
834,2115,2023-04-30,73289
835,2115,2023-05-31,73289
836,2115,2023-06-30,73289
837,2115,2023-07-31,73289
838,2115,2023-08-31,73289
839,2115,2023-09-30,73289
840,2118,2022-10-31,63316
841,2118,2022-11-30,63316
842,2118,2022-12-31,63316
843,2118,2023-01-31,63316
844,2118,2023-02-28,63316
845,2118,2023-03-31,63316
846,2118,2023-04-30,63316
847,2118,2023-05-31,63316
848,2118,2023-06-30,63316
849,2118,2023-07-31,63316
850,2118,2023-08-31,63316
851,2118,2023-09-30,63316
852,2121,2022-10-31,26572
853,2121,2022-11-30,26572
854,2121,2022-12-31,26572
855,2121,2023-01-31,26572
856,2121,2023-02-28,26572
857,2121,2023-03-31,26572
858,2121,2023-04-30,26572
859,2121,2023-05-31,26572
860,2121,2023-06-30,26572
861,2121,2023-07-31,26572
862,2121,2023-08-31,26572
863,2121,2023-09-30,26572
864,2132,2022-10-31,26083
865,2132,2022-11-30,26083
866,2132,2022-12-31,26083
867,2132,2023-01-31,26083
868,2132,2023-02-28,26083
869,2132,2023-03-31,26083
870,2132,2023-04-30,26083
871,2132,2023-05-31,26083
872,2132,2023-06-30,26083
873,2132,2023-07-31,26083
874,2132,2023-08-31,26083
875,2132,2023-09-30,26083
876,2133,2022-10-31,93746
877,2133,2022-11-30,93746
878,2133,2022-12-31,93746
879,2133,2023-01-31,93746
880,2133,2023-02-28,93746
881,2133,2023-03-31,93746
882,2133,2023-04-30,93746
883,2133,2023-05-31,93746
884,2133,2023-06-30,93746
885,2133,2023-07-31,93746
886,2133,2023-08-31,93746
887,2133,2023-09-30,93746
888,2143,2022-10-31,70920
889,2143,2022-11-30,70920
890,2143,2022-12-31,70920
891,2143,2023-01-31,70920
892,2143,2023-02-28,70920
893,2143,2023-03-31,70920
894,2143,2023-04-30,70920
895,2143,2023-05-31,70920
896,2143,2023-06-30,70920
897,2143,2023-07-31,70920
898,2143,2023-08-31,70920
899,2143,2023-09-30,70920
900,2148,2022-10-31,95804
901,2148,2022-11-30,95804
902,2148,2022-12-31,95804
903,2148,2023-01-31,95804
904,2148,2023-02-28,95804
905,2148,2023-03-31,95804
906,2148,2023-04-30,95804
907,2148,2023-05-31,95804
908,2148,2023-06-30,95804
909,2148,2023-07-31,95804
910,2148,2023-08-31,95804
911,2148,2023-09-30,95804
912,2152,2022-10-31,93301
913,2152,2022-11-30,93301
914,2152,2022-12-31,93301
915,2152,2023-01-31,93301
916,2152,2023-02-28,93301
917,2152,2023-03-31,93301
918,2152,2023-04-30,93301
919,2152,2023-05-31,93301
920,2152,2023-06-30,93301
921,2152,2023-07-31,93301
922,2152,2023-08-31,93301
923,2152,2023-09-30,93301
924,2165,2022-10-31,61314
925,2165,2022-11-30,61314
926,2165,2022-12-31,61314
927,2165,2023-01-31,61314
928,2165,2023-02-28,61314
929,2165,2023-03-31,61314
930,2165,2023-04-30,61314
931,2165,2023-05-31,61314
