Branch,Type,Amount,IssueDate,DueDate,InterestRate,Status
B,Home,43591,1/1/2015,12/6/2019,0.155848523,NORM
B,Home,43283,1/1/2015,12/6/2019,0.135397757,NPL
B,Home,70470,1/1/2015,12/21/2016,0.14081122,NORM
B,Home,83992,1/1/2015,12/27/2015,0.130189141,NORM
B,Home,15539,1/1/2015,12/27/2015,0.13731244,NORM
B,Home,90004,1/1/2015,12/11/2018,0.158929929,NPL
B,Home,93374,1/1/2015,12/6/2019,0.150284746,NORM
B,Home,47588,1/1/2015,12/27/2015,0.169259977,NORM
B,Home,45387,1/1/2015,12/6/2019,0.152106551,NORM
B,Home,42833,1/1/2015,12/6/2019,0.16940804,OVRD
B,Home,53381,1/1/2015,12/21/2016,0.158202033,NORM
B,Home,87704,1/1/2015,12/16/2017,0.147254089,NPL
B,Home,84922,1/1/2015,12/27/2015,0.160486941,NORM
B,Home,80341,1/1/2015,12/6/2019,0.144183948,NORM
B,Home,50605,1/1/2015,12/11/2018,0.13264801,NORM
B,Home,36114,1/1/2015,12/11/2018,0.130461098,OVRD
B,Home,56680,1/1/2015,12/6/2019,0.143966395,NPL
B,Home,36974,1/1/2015,12/11/2018,0.138899414,OVRD
B,Home,52161,1/1/2015,12/11/2018,0.133069272,NPL
B,Home,89677,1/1/2015,12/11/2018,0.132214197,NPL
B,Home,35087,1/1/2015,12/27/2015,0.166667776,NORM
B,Home,79272,1/1/2015,12/11/2018,0.152042028,OVRD
B,Home,80733,1/1/2015,12/11/2018,0.157331669,NPL
B,Home,14107,1/1/2015,12/6/2019,0.15842548,NPL
B,Home,28800,1/1/2015,12/27/2015,0.139039507,NORM
B,Home,42830,1/1/2015,12/6/2019,0.134572776,OVRD
B,Home,25525,1/1/2015,12/27/2015,0.134759794,NPL
B,Home,72207,1/1/2015,12/11/2018,0.147546225,OVRD
B,Home,21719,1/1/2015,12/11/2018,0.133486623,OVRD
E,Business,46969,1/31/2015,1/15/2018,0.132004452,OVRD
E,Business,29010,1/31/2015,1/5/2020,0.107167953,OVRD
E,Business,27728,1/31/2015,1/20/2017,0.125338114,NORM
E,Business,79583,1/31/2015,1/5/2020,0.106958359,NORM
E,Business,62935,1/31/2015,1/20/2017,0.130574111,OVRD
E,Business,19915,1/31/2015,1/10/2019,0.129149128,NORM
E,Business,95307,1/31/2015,1/15/2018,0.124936516,NPL
E,Business,45310,1/31/2015,1/15/2018,0.107005075,NPL
E,Business,66902,1/31/2015,1/20/2017,0.105886149,OVRD
E,Business,18640,1/31/2015,1/5/2020,0.106781261,OVRD
E,Business,93182,1/31/2015,1/15/2018,0.122173216,NORM
E,Business,91596,1/31/2015,1/10/2019,0.117235415,NORM
E,Business,26069,1/31/2015,1/15/2018,0.126125728,OVRD
E,Business,63409,1/31/2015,1/20/2017,0.110348046,NORM
E,Business,39689,1/31/2015,1/10/2019,0.135841698,OVRD
E,Business,35273,1/31/2015,1/26/2016,0.106939634,NORM
E,Business,50109,1/31/2015,1/15/2018,0.102857412,NPL
E,Business,70290,1/31/2015,1/10/2019,0.120071414,NPL
E,Business,71448,1/31/2015,1/15/2018,0.112180847,NPL
E,Business,17346,1/31/2015,1/26/2016,0.124836996,NPL
E,Business,80255,1/31/2015,1/10/2019,0.107977298,OVRD
E,Business,82228,1/31/2015,1/20/2017,0.101383493,NORM
E,Business,70496,1/31/2015,1/20/2017,0.127977516,NPL
E,Business,81254,1/31/2015,1/10/2019,0.137222105,NPL
E,Business,71598,1/31/2015,1/5/2020,0.139919354,NORM
E,Business,77646,1/31/2015,1/10/2019,0.130748758,NORM
E,Business,94204,1/31/2015,1/10/2019,0.113180743,OVRD
E,Business,99411,1/31/2015,1/10/2019,0.120377541,NORM
E,Business,96382,1/31/2015,1/5/2020,0.11871096,OVRD
E,Business,42756,1/31/2015,1/15/2018,0.102872685,NORM
E,Business,65935,1/31/2015,1/15/2018,0.129653807,NPL
E,Business,40268,1/31/2015,1/15/2018,0.1140958,OVRD
E,Business,80486,1/31/2015,1/20/2017,0.134531857,OVRD
E,Business,83689,1/31/2015,1/20/2017,0.10196157,NPL
E,Business,15950,1/31/2015,1/10/2019,0.125437462,NPL
E,Business,15333,1/31/2015,1/15/2018,0.131122866,NORM
E,Business,43771,1/31/2015,1/10/2019,0.114552902,NORM
E,Business,81436,1/31/2015,1/26/2016,0.116326581,OVRD
E,Business,29280,1/31/2015,1/26/2016,0.10164808,OVRD
E,Business,83742,1/31/2015,1/26/2016,0.132189881,OVRD
E,Business,22292,1/31/2015,1/26/2016,0.11229761,NORM
E,Business,10884,1/31/2015,1/26/2016,0.124476788,OVRD
E,Business,27951,1/31/2015,1/10/2019,0.116940036,NORM
E,Business,42201,1/31/2015,1/5/2020,0.137816622,OVRD
E,Business,71316,1/31/2015,1/20/2017,0.10019982,NORM
E,Business,28680,1/31/2015,1/20/2017,0.101152514,OVRD
B,Home,68612,3/2/2015,2/14/2018,0.148745105,OVRD
B,Home,40417,3/2/2015,2/9/2019,0.168729963,NPL
B,Home,15497,3/2/2015,2/14/2018,0.135512265,OVRD
B,Home,67193,3/2/2015,2/14/2018,0.138416974,OVRD
B,Home,24325,3/2/2015,2/9/2019,0.137065623,NORM
B,Home,80175,3/2/2015,2/25/2016,0.155175546,OVRD
B,Home,47758,3/2/2015,2/19/2017,0.138035914,NPL
B,Home,87172,3/2/2015,2/19/2017,0.160349341,NORM
B,Home,59605,3/2/2015,2/19/2017,0.144512808,NPL
B,Home,29694,3/2/2015,2/4/2020,0.146423976,NORM
B,Home,24232,3/2/2015,2/9/2019,0.15371194,NPL
B,Home,80962,3/2/2015,2/14/2018,0.15424947,OVRD
B,Home,31335,3/2/2015,2/25/2016,0.149156824,OVRD
B,Home,90412,3/2/2015,2/9/2019,0.139169458,NPL
B,Home,40023,3/2/2015,2/4/2020,0.169313148,NPL
B,Home,91236,3/2/2015,2/4/2020,0.135477263,NPL
B,Home,58020,3/2/2015,2/25/2016,0.144988832,NORM
B,Home,77455,3/2/2015,2/9/2019,0.169493058,NPL
B,Home,48283,3/2/2015,2/19/2017,0.133018404,OVRD
B,Home,23905,3/2/2015,2/19/2017,0.160651011,NORM
B,Home,68427,3/2/2015,2/19/2017,0.137559336,OVRD
B,Home,83546,3/2/2015,2/4/2020,0.162350153,NORM
B,Home,67281,3/2/2015,2/14/2018,0.150538545,OVRD
B,Home,28080,3/2/2015,2/19/2017,0.135300889,NPL
B,Home,13048,3/2/2015,2/19/2017,0.162911676,OVRD
B,Home,67501,3/2/2015,2/25/2016,0.148774963,OVRD
B,Home,64326,3/2/2015,2/19/2017,0.150881531,OVRD
B,Home,91765,3/2/2015,2/4/2020,0.154995324,NORM
B,Home,84332,3/2/2015,2/14/2018,0.154782125,NPL
B,Home,88912,3/2/2015,2/9/2019,0.135639958,NORM
B,Home,91267,3/2/2015,2/9/2019,0.167540123,NORM
B,Home,64941,3/2/2015,2/25/2016,0.164694766,NORM
B,Home,33707,3/2/2015,2/9/2019,0.168614751,OVRD
B,Home,36825,3/2/2015,2/4/2020,0.163695278,OVRD
B,Home,84399,3/2/2015,2/25/2016,0.147703661,NORM
B,Home,99209,3/2/2015,2/9/2019,0.167960968,NORM
D,Personal,63081,4/1/2015,3/5/2020,0.13686046,NORM
D,Personal,80826,4/1/2015,3/26/2016,0.130564333,OVRD
D,Personal,71622,4/1/2015,3/26/2016,0.167238193,NORM
D,Personal,50688,4/1/2015,3/21/2017,0.140680305,NORM
D,Personal,47030,4/1/2015,3/21/2017,0.165854906,NORM
D,Personal,10869,4/1/2015,3/26/2016,0.131193473,NPL
D,Personal,23963,4/1/2015,3/5/2020,0.159983474,NORM
D,Personal,67743,4/1/2015,3/21/2017,0.166981509,OVRD
D,Personal,97153,4/1/2015,3/16/2018,0.130824257,NORM
D,Personal,55020,4/1/2015,3/5/2020,0.16593407,NPL
D,Personal,99796,4/1/2015,3/26/2016,0.134851107,NPL
D,Personal,10196,4/1/2015,3/16/2018,0.158589617,OVRD
D,Personal,90822,4/1/2015,3/26/2016,0.162511705,NPL
D,Personal,27076,4/1/2015,3/21/2017,0.151616566,NORM
D,Personal,86980,4/1/2015,3/11/2019,0.147474486,NORM
D,Personal,58835,4/1/2015,3/26/2016,0.161954633,OVRD
D,Personal,90505,4/1/2015,3/26/2016,0.150364,OVRD
D,Personal,30846,4/1/2015,3/11/2019,0.161500373,NORM
D,Personal,84227,4/1/2015,3/16/2018,0.166434391,NORM
D,Personal,31410,4/1/2015,3/11/2019,0.156946231,OVRD
D,Personal,21348,4/1/2015,3/11/2019,0.133763016,NPL
D,Personal,68236,4/1/2015,3/26/2016,0.165999357,NPL
D,Personal,20258,4/1/2015,3/11/2019,0.133039436,OVRD
D,Personal,46601,4/1/2015,3/11/2019,0.134623027,NORM
D,Personal,96244,4/1/2015,3/26/2016,0.146035591,OVRD
D,Personal,82301,4/1/2015,3/16/2018,0.157349084,OVRD
D,Personal,41100,4/1/2015,3/5/2020,0.169966118,NPL
D,Personal,22225,4/1/2015,3/16/2018,0.15671413,OVRD
D,Personal,72702,4/1/2015,3/26/2016,0.135120767,NPL
D,Personal,36853,4/1/2015,3/11/2019,0.165303195,OVRD
D,Personal,75272,4/1/2015,3/21/2017,0.147143985,NPL
D,Personal,90154,4/1/2015,3/5/2020,0.135167822,NORM
D,Personal,73395,4/1/2015,3/11/2019,0.162756975,NORM
D,Personal,20557,4/1/2015,3/21/2017,0.15345088,NORM
D,Personal,96347,4/1/2015,3/21/2017,0.166849579,NORM
D,Personal,42883,4/1/2015,3/21/2017,0.133783199,NPL
D,Personal,81341,4/1/2015,3/21/2017,0.142677885,OVRD
D,Personal,50399,4/1/2015,3/21/2017,0.169219959,NPL
D,Personal,52796,4/1/2015,3/16/2018,0.148584425,NORM
D,Personal,30800,4/1/2015,3/26/2016,0.146123675,NORM
D,Personal,59230,4/1/2015,3/5/2020,0.13872657,OVRD
D,Personal,25683,4/1/2015,3/21/2017,0.131282435,NPL
D,Personal,21882,4/1/2015,3/5/2020,0.14578355,NPL
D,Personal,97402,4/1/2015,3/5/2020,0.130387341,NPL
D,Personal,42145,4/1/2015,3/5/2020,0.149110072,OVRD
D,Personal,74623,4/1/2015,3/11/2019,0.169432769,OVRD
D,Personal,87771,4/1/2015,3/11/2019,0.162731301,NORM
D,Personal,49713,4/1/2015,3/21/2017,0.165266494,NORM
D,Personal,82963,4/1/2015,3/26/2016,0.142945279,NORM
D,Personal,38034,4/1/2015,3/26/2016,0.156582686,NPL
D,Personal,43545,4/1/2015,3/16/2018,0.133456647,NPL
D,Personal,40486,4/1/2015,3/11/2019,0.148013544,NPL
D,Personal,91149,4/1/2015,3/16/2018,0.164863578,NORM
D,Personal,84313,4/1/2015,3/5/2020,0.168667805,NORM
D,Personal,83354,4/1/2015,3/5/2020,0.136355402,NORM
D,Personal,12309,4/1/2015,3/11/2019,0.159400861,OVRD
D,Personal,91849,4/1/2015,3/5/2020,0.157726674,NORM
D,Personal,61645,4/1/2015,3/16/2018,0.160022486,NPL
D,Personal,19089,4/1/2015,3/5/2020,0.164621175,OVRD
D,Personal,26688,4/1/2015,3/21/2017,0.137927812,OVRD
D,Personal,55363,4/1/2015,3/11/2019,0.166925388,NPL
D,Personal,52670,4/1/2015,3/16/2018,0.135492057,NORM
D,Personal,81482,4/1/2015,3/5/2020,0.131684413,NPL
D,Personal,14012,4/1/2015,3/21/2017,0.138071066,NORM
D,Personal,91538,4/1/2015,3/5/2020,0.147210144,OVRD
D,Personal,32523,4/1/2015,3/5/2020,0.169736431,NORM
D,Personal,79792,4/1/2015,3/16/2018,0.167534173,NORM
D,Personal,81007,4/1/2015,3/26/2016,0.154243603,OVRD
D,Personal,72525,4/1/2015,3/26/2016,0.154793746,NORM
D,Personal,18034,4/1/2015,3/26/2016,0.134002985,NPL
D,Personal,29780,4/1/2015,3/21/2017,0.148583384,NORM
D,Personal,75309,4/1/2015,3/11/2019,0.143833595,NORM
D,Personal,58406,4/1/2015,3/5/2020,0.146738056,NPL
D,Personal,66867,4/1/2015,3/5/2020,0.164935567,OVRD
D,Personal,32170,4/1/2015,3/26/2016,0.146952373,NPL
D,Personal,51143,4/1/2015,3/26/2016,0.1696633,NORM
D,Personal,74375,4/1/2015,3/5/2020,0.137507428,NPL
D,Personal,69158,4/1/2015,3/11/2019,0.14028829,NORM
D,Personal,28456,4/1/2015,3/11/2019,0.15868974,NORM
D,Personal,94383,4/1/2015,3/5/2020,0.142958175,NPL
D,Personal,10576,4/1/2015,3/21/2017,0.138867681,NORM
D,Personal,15090,4/1/2015,3/11/2019,0.149224534,NORM
D,Personal,95638,4/1/2015,3/26/2016,0.140982334,NORM
D,Personal,69305,4/1/2015,3/21/2017,0.169551809,NORM
D,Personal,76129,4/1/2015,3/16/2018,0.152052726,NPL
D,Auto,60711,5/1/2015,4/25/2016,0.141043564,OVRD
D,Auto,97252,5/1/2015,4/10/2019,0.140810462,OVRD
D,Auto,33022,5/1/2015,4/20/2017,0.163778963,NPL
D,Auto,92320,5/1/2015,4/20/2017,0.167378509,NORM
D,Auto,99291,5/1/2015,4/4/2020,0.145178674,NORM
D,Auto,23195,5/1/2015,4/4/2020,0.138928809,OVRD
D,Auto,21558,5/1/2015,4/20/2017,0.14505372,NPL
D,Auto,71740,5/1/2015,4/15/2018,0.157713312,OVRD
D,Auto,11709,5/1/2015,4/10/2019,0.140300659,NORM
D,Auto,55151,5/1/2015,4/20/2017,0.158038796,NORM
D,Auto,59469,5/1/2015,4/25/2016,0.160397843,NPL
D,Auto,66838,5/1/2015,4/4/2020,0.14592116,OVRD
D,Auto,55451,5/1/2015,4/25/2016,0.149095143,NORM
D,Auto,79918,5/1/2015,4/15/2018,0.167611424,NORM
D,Auto,42606,5/1/2015,4/10/2019,0.136142335,OVRD
D,Auto,60969,5/1/2015,4/4/2020,0.134437229,OVRD
D,Auto,92359,5/1/2015,4/25/2016,0.153027764,NPL
D,Auto,51163,5/1/2015,4/4/2020,0.150782426,OVRD
D,Auto,45763,5/1/2015,4/20/2017,0.168215292,NPL
D,Auto,85011,5/1/2015,4/20/2017,0.144642914,NORM
D,Auto,66893,5/1/2015,4/10/2019,0.152373108,OVRD
D,Auto,31195,5/1/2015,4/25/2016,0.148598804,NORM
D,Auto,17092,5/1/2015,4/10/2019,0.146952205,NPL
D,Auto,62023,5/1/2015,4/4/2020,0.164247604,NPL
D,Auto,45171,5/1/2015,4/10/2019,0.140564746,NPL
D,Auto,36737,5/1/2015,4/25/2016,0.166395603,NORM
D,Auto,98997,5/1/2015,4/10/2019,0.143593036,OVRD
D,Auto,68350,5/1/2015,4/25/2016,0.134212451,NORM
D,Auto,39236,5/1/2015,4/20/2017,0.164468928,NPL
D,Auto,13722,5/1/2015,4/25/2016,0.153164328,NPL
D,Auto,79246,5/1/2015,4/4/2020,0.152096544,NORM
D,Auto,30667,5/1/2015,4/10/2019,0.147615179,NPL
D,Auto,35977,5/1/2015,4/10/2019,0.149790175,OVRD
D,Auto,18889,5/1/2015,4/15/2018,0.141926479,OVRD
D,Auto,37716,5/1/2015,4/20/2017,0.165406722,OVRD
D,Auto,58461,5/1/2015,4/4/2020,0.149148934,OVRD
D,Auto,49138,5/1/2015,4/20/2017,0.166529648,NORM
D,Auto,54665,5/1/2015,4/20/2017,0.141957985,OVRD
D,Auto,14806,5/1/2015,4/4/2020,0.138688156,OVRD
D,Auto,13744,5/1/2015,4/15/2018,0.138502174,OVRD
D,Auto,75147,5/1/2015,4/15/2018,0.152367496,OVRD
D,Auto,63686,5/1/2015,4/4/2020,0.147350576,OVRD
D,Auto,14809,5/1/2015,4/15/2018,0.158624472,NORM
D,Auto,69862,5/1/2015,4/15/2018,0.135128506,NPL
D,Auto,48408,5/1/2015,4/10/2019,0.157136792,NPL
D,Auto,81401,5/1/2015,4/15/2018,0.161150948,OVRD
D,Auto,35787,5/1/2015,4/15/2018,0.166896556,NPL
D,Auto,73307,5/1/2015,4/10/2019,0.15156502,NPL
D,Auto,27589,5/1/2015,4/25/2016,0.15980127,OVRD
D,Auto,11610,5/1/2015,4/20/2017,0.164919014,OVRD
D,Auto,13144,5/1/2015,4/20/2017,0.166998023,NORM
D,Auto,68773,5/1/2015,4/25/2016,0.141635848,NORM
D,Auto,73499,5/1/2015,4/4/2020,0.130785502,NORM
D,Auto,90790,5/1/2015,4/4/2020,0.154460919,NORM
D,Auto,62450,5/1/2015,4/15/2018,0.144100159,NORM
D,Auto,42595,5/1/2015,4/25/2016,0.166065518,NPL
D,Auto,84891,5/1/2015,4/4/2020,0.135710945,NORM
D,Auto,99676,5/1/2015,4/15/2018,0.137102139,NPL
D,Auto,94197,5/1/2015,4/25/2016,0.140303472,OVRD
D,Auto,12485,5/1/2015,4/4/2020,0.164629739,NORM
D,Auto,82133,5/1/2015,4/20/2017,0.132364343,NPL
D,Auto,75693,5/1/2015,4/4/2020,0.133964959,OVRD
D,Auto,59547,5/1/2015,4/4/2020,0.163843811,NPL
D,Auto,20012,5/1/2015,4/10/2019,0.130727005,NORM
D,Auto,34950,5/1/2015,4/20/2017,0.165233009,OVRD
D,Auto,83054,5/1/2015,4/25/2016,0.149020406,OVRD
D,Auto,57024,5/1/2015,4/25/2016,0.148360451,NORM
D,Auto,13671,5/1/2015,4/25/2016,0.141728922,NORM
D,Auto,75251,5/1/2015,4/20/2017,0.166774811,NPL
D,Auto,65459,5/1/2015,4/4/2020,0.131927198,NPL
D,Auto,11443,5/1/2015,4/4/2020,0.162030535,NPL
D,Auto,83138,5/1/2015,4/4/2020,0.164897696,OVRD
D,Auto,97844,5/1/2015,4/10/2019,0.165472467,OVRD
D,Auto,59168,5/1/2015,4/20/2017,0.132304683,NORM
D,Auto,81393,5/1/2015,4/10/2019,0.160395221,NORM
D,Auto,52306,5/1/2015,4/25/2016,0.168413294,NPL
D,Auto,99489,5/1/2015,4/10/2019,0.140561264,OVRD
D,Auto,34845,5/1/2015,4/25/2016,0.167349127,NORM
D,Auto,82043,5/1/2015,4/25/2016,0.167037874,OVRD
D,Auto,71330,5/1/2015,4/25/2016,0.147675817,NPL
D,Auto,81074,5/1/2015,4/15/2018,0.16035507,NPL
D,Auto,21337,5/1/2015,4/25/2016,0.152960439,NPL
D,Auto,86898,5/1/2015,4/15/2018,0.142399177,NORM
D,Auto,21938,5/1/2015,4/20/2017,0.140195912,OVRD
D,Auto,43371,5/1/2015,4/20/2017,0.164195929,NPL
D,Auto,15517,5/1/2015,4/25/2016,0.144146613,OVRD
D,Auto,86856,5/1/2015,4/10/2019,0.168744188,NPL
D,Auto,11813,5/1/2015,4/4/2020,0.165648322,NPL
A,Home,75269,5/31/2015,5/15/2018,0.133295372,NORM
A,Home,76447,5/31/2015,5/25/2016,0.131401482,NORM
A,Home,76074,5/31/2015,5/20/2017,0.161136132,NORM
A,Home,31851,5/31/2015,5/20/2017,0.143673015,OVRD
A,Home,97668,5/31/2015,5/10/2019,0.168705934,NPL
A,Home,14169,5/31/2015,5/10/2019,0.167645664,NPL
A,Home,48890,5/31/2015,5/10/2019,0.149915895,NORM
A,Home,64156,5/31/2015,5/4/2020,0.140675147,NORM
A,Home,80379,5/31/2015,5/20/2017,0.169349808,NORM
A,Home,80406,5/31/2015,5/20/2017,0.162244903,NORM
A,Home,95272,5/31/2015,5/15/2018,0.148191652,OVRD
A,Home,11774,5/31/2015,5/15/2018,0.134425419,NPL
A,Home,75389,5/31/2015,5/4/2020,0.156734886,OVRD
A,Home,32260,5/31/2015,5/20/2017,0.16029134,NORM
A,Home,12407,5/31/2015,5/25/2016,0.133403991,OVRD
A,Home,72918,5/31/2015,5/15/2018,0.139448897,OVRD
A,Home,50429,5/31/2015,5/4/2020,0.136120749,OVRD
A,Home,39519,5/31/2015,5/10/2019,0.141191481,OVRD
A,Home,89494,5/31/2015,5/25/2016,0.150910114,NORM
A,Home,25218,5/31/2015,5/20/2017,0.145493504,NPL
A,Home,33398,5/31/2015,5/20/2017,0.161526456,OVRD
A,Home,98428,5/31/2015,5/25/2016,0.150464728,NPL
A,Home,70642,5/31/2015,5/25/2016,0.146157739,OVRD
A,Home,48724,5/31/2015,5/25/2016,0.149109615,OVRD
A,Home,84024,5/31/2015,5/25/2016,0.138221521,NORM
A,Home,60677,5/31/2015,5/15/2018,0.132014352,OVRD
A,Home,55332,5/31/2015,5/20/2017,0.135089866,NORM
A,Home,51072,5/31/2015,5/4/2020,0.155021436,NORM
A,Home,86624,5/31/2015,5/25/2016,0.138008691,NPL
A,Home,99837,5/31/2015,5/20/2017,0.168642334,NPL
A,Home,60974,5/31/2015,5/20/2017,0.155633293,OVRD
A,Home,60775,5/31/2015,5/25/2016,0.136770088,OVRD
A,Home,69738,5/31/2015,5/15/2018,0.132085011,NPL
A,Home,81291,5/31/2015,5/4/2020,0.1681107,NORM
A,Home,16149,5/31/2015,5/15/2018,0.136840968,OVRD
A,Home,10281,5/31/2015,5/4/2020,0.167636213,NPL
A,Home,35439,5/31/2015,5/25/2016,0.14454946,NORM
A,Home,26524,5/31/2015,5/4/2020,0.16837927,NPL
A,Home,18345,5/31/2015,5/4/2020,0.142015594,NPL
A,Home,53417,5/31/2015,5/20/2017,0.142397552,OVRD
A,Home,12863,5/31/2015,5/25/2016,0.160632672,NPL
A,Home,47250,5/31/2015,5/10/2019,0.149084241,OVRD
A,Home,42066,5/31/2015,5/15/2018,0.141033114,NORM
A,Home,10060,5/31/2015,5/20/2017,0.130387322,OVRD
A,Home,54179,5/31/2015,5/25/2016,0.163824961,NORM
A,Home,16257,5/31/2015,5/25/2016,0.168354241,NPL
A,Home,64706,5/31/2015,5/15/2018,0.133307885,NPL
A,Home,28793,5/31/2015,5/10/2019,0.160822993,OVRD
A,Home,18809,5/31/2015,5/4/2020,0.140223078,NORM
A,Home,45981,5/31/2015,5/25/2016,0.155849983,NORM
A,Home,61193,5/31/2015,5/15/2018,0.1534645,NORM
A,Home,74204,5/31/2015,5/4/2020,0.140460392,NORM
A,Home,67283,5/31/2015,5/4/2020,0.139993227,NPL
A,Home,55823,5/31/2015,5/20/2017,0.144485668,OVRD
A,Home,31044,5/31/2015,5/4/2020,0.153353826,NORM
A,Home,61510,5/31/2015,5/25/2016,0.162829046,NORM
A,Home,73585,5/31/2015,5/15/2018,0.159834735,OVRD
A,Home,85846,5/31/2015,5/15/2018,0.136605894,OVRD
A,Home,46972,5/31/2015,5/4/2020,0.1625214,NPL
A,Home,93634,5/31/2015,5/10/2019,0.16641794,NPL
A,Home,44539,5/31/2015,5/4/2020,0.167478647,OVRD
A,Home,23533,5/31/2015,5/4/2020,0.136119305,OVRD
A,Home,95675,5/31/2015,5/4/2020,0.162705919,NPL
A,Home,76236,5/31/2015,5/25/2016,0.137182843,NORM
A,Home,92154,5/31/2015,5/4/2020,0.169372753,NORM
A,Home,97268,5/31/2015,5/4/2020,0.163277313,NPL
A,Home,66891,5/31/2015,5/20/2017,0.151117234,NPL
A,Home,86863,5/31/2015,5/25/2016,0.149782016,OVRD
A,Home,84812,5/31/2015,5/10/2019,0.139067354,OVRD
A,Home,44175,5/31/2015,5/25/2016,0.132990016,NPL
A,Home,58470,5/31/2015,5/25/2016,0.134051245,NORM
D,Auto,30503,6/30/2015,6/9/2019,0.152140163,OVRD
D,Auto,14823,6/30/2015,6/19/2017,0.161428431,OVRD
D,Auto,18669,6/30/2015,6/9/2019,0.137955181,NORM
D,Auto,59534,6/30/2015,6/19/2017,0.142436364,OVRD
D,Auto,24054,6/30/2015,6/3/2020,0.131882506,NORM
D,Auto,67932,6/30/2015,6/9/2019,0.158720403,OVRD
D,Auto,80496,6/30/2015,6/14/2018,0.168656302,NPL
D,Auto,42201,6/30/2015,6/14/2018,0.147998532,NPL
D,Auto,47296,6/30/2015,6/24/2016,0.160128881,NORM
D,Auto,63039,6/30/2015,6/9/2019,0.146025389,OVRD
D,Auto,49515,6/30/2015,6/24/2016,0.150803061,NORM
D,Auto,34310,6/30/2015,6/24/2016,0.154827,NPL
D,Auto,65206,6/30/2015,6/24/2016,0.135579359,NPL
D,Auto,51547,6/30/2015,6/14/2018,0.147141251,OVRD
D,Auto,44972,6/30/2015,6/19/2017,0.131156973,OVRD
D,Auto,10070,6/30/2015,6/24/2016,0.154675503,NPL
D,Auto,50071,6/30/2015,6/14/2018,0.147226791,NORM
D,Auto,98761,6/30/2015,6/19/2017,0.132799856,NPL
D,Auto,58884,6/30/2015,6/14/2018,0.164602373,OVRD
D,Auto,10929,6/30/2015,6/14/2018,0.165048739,NORM
D,Auto,98069,6/30/2015,6/3/2020,0.134483803,NORM
D,Auto,85219,6/30/2015,6/19/2017,0.14683063,NORM
D,Auto,85470,6/30/2015,6/3/2020,0.157484709,NORM
D,Auto,59247,6/30/2015,6/3/2020,0.147483707,OVRD
D,Auto,81979,6/30/2015,6/3/2020,0.147558786,OVRD
D,Auto,55515,6/30/2015,6/9/2019,0.148660913,NPL
D,Auto,71401,6/30/2015,6/14/2018,0.145296415,OVRD
D,Auto,65311,6/30/2015,6/14/2018,0.154499737,NORM
D,Auto,90039,6/30/2015,6/9/2019,0.157889367,OVRD
D,Auto,30830,6/30/2015,6/19/2017,0.152659929,OVRD
D,Auto,61040,6/30/2015,6/9/2019,0.14761147,OVRD
D,Auto,28421,6/30/2015,6/24/2016,0.134370069,NPL
D,Auto,22793,6/30/2015,6/19/2017,0.146580344,NORM
D,Auto,43731,6/30/2015,6/9/2019,0.141294355,OVRD
